"observation_id","subject_type","subject_id","metric_id","value_numeric","value_text","unit_label","year","time_granularity","quality_flag","comparability_flag","population_group_id","dataset_release_id","source_indicator_code","source_country_code","source_country_name"
"observation/USA/completion_rate_primary/2017/all","Jurisdiction","jurisdiction/USA","completion_rate_primary","98.8321990966797","","% of relevant age group","2017","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SE.PRM.CMPT.ZS","USA","United States"
"observation/USA/completion_rate_primary/2018/all","Jurisdiction","jurisdiction/USA","completion_rate_primary","100.092697143555","","% of relevant age group","2018","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SE.PRM.CMPT.ZS","USA","United States"
"observation/USA/completion_rate_primary/2019/all","Jurisdiction","jurisdiction/USA","completion_rate_primary","100.489051818848","","% of relevant age group","2019","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SE.PRM.CMPT.ZS","USA","United States"
"observation/USA/completion_rate_primary/2020/all","Jurisdiction","jurisdiction/USA","completion_rate_primary","100.923667907715","","% of relevant age group","2020","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SE.PRM.CMPT.ZS","USA","United States"
"observation/USA/completion_rate_primary/2021/all","Jurisdiction","jurisdiction/USA","completion_rate_primary","101.091278076172","","% of relevant age group","2021","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SE.PRM.CMPT.ZS","USA","United States"
"observation/USA/completion_rate_primary/2022/all","Jurisdiction","jurisdiction/USA","completion_rate_primary","95.743522644043","","% of relevant age group","2022","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SE.PRM.CMPT.ZS","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1960/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","18899.1580127887","","constant 2015 US$","1960","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1961/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","19015.9777136991","","constant 2015 US$","1961","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1962/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","19868.0207995247","","constant 2015 US$","1962","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1963/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","20445.8368750774","","constant 2015 US$","1963","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1964/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","21333.2984355768","","constant 2015 US$","1964","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1965/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","22416.6241536604","","constant 2015 US$","1965","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1966/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","23599.5749334506","","constant 2015 US$","1966","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1967/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","23927.5975287955","","constant 2015 US$","1967","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1968/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","24826.9926989169","","constant 2015 US$","1968","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1969/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","25347.7065228137","","constant 2015 US$","1969","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1970/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","25108.3873891175","","constant 2015 US$","1970","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1971/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","25609.294432327","","constant 2015 US$","1971","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1972/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","26668.1690068193","","constant 2015 US$","1972","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1973/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","27906.1356426005","","constant 2015 US$","1973","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1974/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","27502.8548958664","","constant 2015 US$","1974","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1975/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","27177.0167648036","","constant 2015 US$","1975","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1976/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","28370.4569990061","","constant 2015 US$","1976","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1977/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","29385.3192596356","","constant 2015 US$","1977","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1978/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","30684.9987747049","","constant 2015 US$","1978","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1979/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","31309.0493216525","","constant 2015 US$","1979","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1980/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","30930.4214515341","","constant 2015 US$","1980","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
"observation/USA/gdp_per_capita_constant_usd/1981/all","Jurisdiction","jurisdiction/USA","gdp_per_capita_constant_usd","31405.6062642433","","constant 2015 US$","1981","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","NY.GDP.PCAP.KD","USA","United States"
